h3_09,total_sum,lat,lon
8911aa7abd3ffff,3018260200.21,55.75687026977539,37.61578369140625
8911aa68e7bffff,885621603.47,55.7003059387207,37.922115325927734
8911aa7a107ffff,80410468.14,55.75008010864258,37.54151916503906
8911aa7a967ffff,63934341.05,55.780643463134766,37.63364791870117
8911aa7a117ffff,57881886.88,55.750370025634766,37.536373138427734
8911aa7162fffff,57198035.51,55.77418899536133,37.50471878051758
8911aa7103bffff,56268976.90,55.78994369506836,37.51829147338867
891181b6507ffff,46808041.43,55.6114616394043,37.60453796386719
8911aa68e47ffff,42920540.47,55.70061492919922,37.916961669921875
8911aa62627ffff,38555638.51,55.84512710571289,37.6624641418457
